,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
Total,Female,1982,9403.0,49962.0,5932.0,7921.0,123.0,8715.0,22525.0,9348.0,10499.0,108.0,12511.0,5560.0,167.0,17009.0,3457.0,272.0,,
Total,Female,1981,8619.0,49754.0,5673.0,8595.0,165.0,8063.0,22897.0,8811.0,9975.0,11384.0,5186.0,156.0,15647.0,3101.0,264.0,,,
Total,Female,1980,7909.0,49094.0,5263.0,8755.0,134.0,7423.0,22772.0,8256.0,9721.0,10628.0,5043.0,152.0,14022.0,2802.0,241.0,,,
Total,Female,1979,7099.0,48362.0,4840.0,9072.0,106.0,6741.0,22179.0,7190.0,9393.0,9474.0,4862.0,137.0,12717.0,2856.0,231.0,,,
Total,Female,1978,6396.0,45850.0,4397.0,9237.0,111.0,6192.0,20860.0,6441.0,8769.0,8408.0,4390.0,128.0,11603.0,2595.0,222.0,,,
Total,Female,1977,5804.0,43678.0,4032.0,9485.0,5624.0,19850.0,5856.0,8057.0,7923.0,4016.0,115.0,10848.0,2271.0,191.0,,,,
Total,Female,1976,5373.0,42091.0,3723.0,9401.0,5240.0,19071.0,5301.0,7504.0,7383.0,3997.0,102.0,10345.0,2117.0,199.0,,,,
Total,Female,1975,4968.0,40584.0,3438.0,9303.0,4802.0,18480.0,5019.0,7066.0,6963.0,3804.0,9818.0,1931.0,187.0,,,,,
White,Both Sexes,2019,59739.0,129846.0,380.0,29207.0,9001.0,541.0,40941.0,32891.0,374.0,46879.0,36653.0,496.0,74966.0,32947.0,832.0,106753.0,18352.0,1685.0
White,Both Sexes,2018,57035.0,128742.0,347.0,27675.0,9470.0,574.0,40744.0,33256.0,450.0,44379.0,36543.0,503.0,73348.0,31770.0,803.0,100195.0,17702.0,1365.0
White,Both Sexes,2017,54838.0,128070.0,252.0,27220.0,9696.0,446.0,39781.0,33308.0,377.0,42859.0,36748.0,335.0,69284.0,31127.0,525.0,99044.0,17190.0,1100.0
White,Both Sexes,2016,53178.0,127241.0,250.0,28489.0,9615.0,650.0,38326.0,33491.0,352.0,41583.0,37481.0,317.0,68538.0,29950.0,583.0,95647.0,16701.0,1047.0
