Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"31,790","7,483",600,"19,294","1,072","1,364","25,582","2,832",487,"32,764","2,283","1,034","47,018",974,"1,589","75,050",321,"7,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"30,502","7,727",487,"18,543","1,210",656,"25,037","2,759",430,"31,084","2,457",887,"46,511",943,"1,767","67,007",356,"5,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"30,109","7,700",478,"17,992","1,235",717,"25,219","2,942",504,"30,966","2,291",686,"49,270",880,"2,526","60,207",349,"3,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"28,533","8,032",487,"16,109","1,258",649,"25,680","3,024",754,"28,278","2,388",692,"42,170",993,"1,563","59,255",368,"4,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"26,090","7,488",444,"16,013","1,190",744,"22,698","2,974",480,"26,586","2,215",707,"42,539",792,"1,889","51,198",318,"4,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"25,080","7,370",428,"15,423","1,304",647,"22,440","2,862",517,"27,215","2,108",847,"35,792",818,"1,243","49,940",278,"4,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"25,067","7,125",785,"15,461","1,290",648,"22,267","2,836","1,034","26,365","2,047","1,442","35,558",700,"1,664","65,981",253,"11,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"23,876","7,090",718,"14,877","1,280",652,"19,514","2,812",443,"26,846","2,047","1,948","36,026",659,"1,815","57,186",293,"6,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"22,614","7,009",445,"15,984","1,191",770,"18,527","2,818",413,"23,748","1,959",844,"34,073",758,"1,628","52,829",281,"5,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"21,108","6,833",518,"13,074","1,305",574,"18,668","2,775",903,"21,734","1,804",691,"35,147",721,"1,811","47,372",228,"4,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"19,317","6,922",385,"12,748","1,439",587,"16,963","2,744",431,"20,550","1,835",695,"30,920",657,"1,662","43,795",246,"4,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"18,607","6,830",345,"12,845","1,624",531,"17,352","2,731",465,"19,974","1,571",712,"26,075",650,"1,176","41,313",255,"3,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"18,859","6,781",300,"13,031","1,563",430,"17,046","3,013",332,"21,152","1,372",708,"29,471",564,"1,291","39,104",269,"2,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"18,108","6,654",283,"11,827","1,614",355,"16,658","2,848",328,"20,253","1,352",566,"27,493",515,"1,201","38,166",326,"2,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"17,782","6,593",326,"12,439","1,671",529,"16,345","2,795",404,"19,265","1,311",818,"28,506",533,"1,220","36,452",283,"2,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"16,171","6,505",283,"11,899","1,711",375,"14,800","2,769",374,"18,081","1,250",612,"23,345",482,"1,091","34,073",294,"2,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"15,441","6,326",256,"11,248","1,691",409,"14,214","2,666",294,"17,419","1,226",693,"23,412",480,"1,161","31,054",263,"2,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"14,932","6,237",254,"10,802","1,716",396,"13,721","2,572",308,"16,415","1,230",628,"23,818",477,"1,072","31,947",243,"2,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"13,560","5,899",212,"10,216","1,780",374,"12,382","2,339",280,"14,960","1,106",471,"21,986",424,961,"27,893",250,"1,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"12,789","5,707",205,"9,094","1,768",339,"11,956","2,312",265,"15,113",996,500,"20,370",363,"1,033","25,466",268,"1,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"12,203","5,535",203,"9,153","1,798",340,"11,952","2,213",268,"12,926",953,458,"17,658",319,861,"26,452",253,"2,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"11,937","5,651",174,"9,266","1,925",318,"11,905","2,191",261,"13,740","1,002",432,"16,624",327,776,"21,082",205,"1,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"11,085","5,576",170,"8,421","2,054",291,"11,563","2,119",260,"12,393",964,417,"15,616",283,739,"23,346",156,"1,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"10,403","5,581",157,"7,938","2,138",278,"10,662","2,087",225,"11,971",931,384,"16,161",259,"1,071","21,092",166,"1,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"9,651","5,350",147,"7,423","2,156",233,"9,869","1,982",219,"11,197",770,409,"16,009",260,944,"18,083",181,"1,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"8,710","5,220",110,"6,648","2,230",187,"9,332","1,770",184,"10,023",799,300,"12,978",234,641,"16,385",188,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"7,991","5,156",105,"6,670","2,289",187,"8,056","1,766",155,"8,688",726,300,"12,246",233,597,"17,859",143,"1,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"7,541","4,864",89,"6,364","2,247",173,"7,847","1,684",138,"8,505",599,267,"11,318",213,572,"13,720",121,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"42,835","11,106",784,"22,460",622,"1,953","29,807","3,008","1,277","34,140","3,704",687,"55,329","2,326","2,074","80,946","1,444","3,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"38,901","10,954",516,"19,333",711,785,"25,994","2,980",512,"33,234","3,764",765,"51,630","2,097","1,169","72,456","1,401","2,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"37,585","10,684",562,"20,316",672,"1,444","26,507","2,886",951,"33,131","3,814",980,"48,158","2,111","1,014","69,498","1,199","1,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"35,576","10,524",568,"21,023",727,"2,128","24,763","2,915",480,"31,087","3,837","1,069","47,036","1,862",920,"67,707","1,182","2,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"35,521","10,170",731,"15,665",786,690,"24,047","2,856",470,"30,951","3,732",818,"48,842","1,753","1,962","75,911","1,041","5,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"32,313","10,012",491,"18,852",674,"1,308","23,785","2,868",588,"28,290","3,773",849,"45,149","1,707",924,"59,429",988,"2,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"31,531","9,675",458,"15,831",747,629,"23,349","2,801",477,"27,564","3,531",521,"44,139","1,684","1,088","61,698",909,"2,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"31,808","9,544",497,"18,178",685,"1,965","22,783","2,747",755,"28,363","3,593",786,"45,282","1,644","1,292","59,675",874,"1,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"31,455","9,343",508,"13,893",801,502,"23,795","2,728","1,007","28,771","3,310",717,"42,721","1,640",868,"60,889",862,"2,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"30,421","9,216",426,"15,467",759,683,"21,690","2,668",337,"27,884","3,491",611,"41,665","1,526",818,"64,532",772,"3,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"29,831","9,087",416,"15,644",756,538,"22,964","2,806",747,"26,748","3,276",435,"42,587","1,552",807,"59,073",694,"3,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"29,734","9,392",384,"13,976",881,521,"23,195","2,893",428,"27,354","3,428",397,"42,858","1,491","1,115","60,430",697,"3,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"31,317","9,365",631,"14,869",868,540,"24,724","3,001","1,008","31,850","3,320","1,359","41,560","1,526",963,"57,076",647,"1,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"29,371","9,302",527,"14,277",961,531,"22,643","3,092",762,"28,706","3,246",883,"44,326","1,417","1,911","57,206",584,"1,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"27,314","9,163",304,"14,300",968,488,"20,449","3,051",331,"25,422","3,116",431,"43,516","1,401",959,"54,044",626,"1,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"25,738","8,963",284,"12,785","1,015",399,"20,284","3,019",291,"24,468","3,015",402,"38,626","1,391",938,"55,436",522,"1,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"25,735","8,919",430,"14,513","1,056",558,"19,623","3,030",384,"24,007","2,963",487,"41,066","1,355","1,977","54,346",514,"2,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"25,131","8,868",328,"13,748","1,075",385,"20,209","2,989",573,"23,679","2,972",388,"38,741","1,301","1,019","50,766",529,"2,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"24,036","8,956",363,"15,912","1,172","2,049","18,683","2,970",289,"23,511","3,023",360,"35,448","1,269",860,"48,080",521,"1,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"22,884","9,056",252,"12,321","1,198",401,"18,510","3,078",403,"22,937","3,140",324,"35,719","1,179",851,"46,416",459,"1,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"21,742","9,076",370,"10,762","1,194",454,"16,541","3,163",338,"22,733","3,049",553,"33,251","1,162","1,132","47,635",509,"3,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"20,026","8,713",299,"11,372","1,212",675,"15,892","3,078",357,"20,371","2,870",470,"31,952","1,105","1,012","40,214",448,"1,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"19,161","8,503",286,"10,607","1,132",399,"15,789","3,102",371,"19,643","2,794",452,"29,091","1,027",946,"38,392",448,"1,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"19,271","8,129",592,"10,337","1,094",526,"15,379","3,008",433,"21,581","2,736","1,555","29,311",954,"1,402","35,785",337,"1,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"17,485","7,757",277,"10,739","1,108",544,"14,473","2,641",433,"17,985","2,679",429,"25,577","1,025",768,"36,585",304,"1,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"17,200","7,745",326,"9,150","1,099",423,"14,333","2,777",356,"16,589","2,651",472,"28,356",921,946,"44,618",297,"4,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"16,336","7,481",371,"8,562","1,048",388,"13,550","2,746",730,"16,778","2,475",495,"25,865",917,"1,073","36,485",296,"1,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"15,542","7,165",271,"8,719","1,005",426,"13,504","2,754",351,"15,445","2,316",468,"24,465",806,921,"34,880",285,"1,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"15,064","7,035",281,"9,151","1,237",512,"12,810","2,781",366,"15,742","2,011",469,"25,235",733,"1,110","32,470",273,"1,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"14,449","6,950",221,"8,946","1,290",402,"12,560","3,036",269,"15,734","1,632",466,"23,837",653,827,"28,074",338,"1,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"14,122","6,946",215,"7,827","1,269",403,"12,701","3,046",255,"15,044","1,656",411,"23,541",606,"1,017","27,933",368,"1,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"12,916","6,763",203,"7,325","1,299",391,"11,469","2,965",255,"14,557","1,491",419,"19,862",671,804,"26,072",338,"1,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"12,106","6,518",193,"7,452","1,304",360,"11,030","2,930",256,"13,123","1,367",412,"18,815",615,668,"24,383",302,"1,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"11,571","6,403",215,"6,984","1,337",375,"10,434","2,804",244,"12,459","1,436",516,"19,562",524,"1,129","24,400",301,"1,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"10,904","6,190",170,"6,879","1,293",366,"9,918","2,651",233,"11,488","1,385",347,"17,779",569,569,"21,502",292,"1,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"10,482","6,049",157,"6,754","1,347",464,"9,527","2,588",201,"11,115","1,290",318,"17,134",513,618,"21,000",311,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"9,778","5,589",(NA),"6,154","1,267",(NA),"9,197","2,380",(NA),"10,215","1,210",(NA),"14,738",465,(NA),"21,539",267,(NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"9,024","5,546",141,"6,047","1,390",279,"8,737","2,378",186,"9,574","1,114",315,"13,284",428,576,"19,198",235,"1,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"8,225","5,437",129,"5,404","1,589",252,"8,088","2,197",183,"9,329","1,076",285,"12,839",381,527,"17,743",193,"1,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"7,684",(NA),121,"4,685",(NA),242,"7,508",(NA),164,"8,544",(NA),266,"12,389",(NA),568,"17,278",(NA),951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"6,940","5,275",112,"4,448","1,638",232,"6,866","2,180",154,"7,735",895,273,"11,555",363,504,"15,766",200,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"75,205","10,793","1,451","31,016",562,"2,429","37,327","1,554","1,547","42,493","1,679","1,772","75,200","3,846","2,133","119,211","3,151","3,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"71,116","10,421","1,283","25,219",532,"1,383","34,610","1,605","1,138","41,595","1,826","1,327","72,857","3,660","1,767","117,834","2,795","3,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"67,599","10,215","1,147","29,306",568,"1,980","35,164","1,639","1,492","38,302","1,894","1,510","71,845","3,353","1,953","109,714","2,759","2,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"63,650","9,941","1,041","28,588",536,"2,231","32,548","1,758",839,"37,793","1,996","1,481","68,610","3,022","1,722","105,557","2,627","2,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"61,603","9,439","1,043","23,418",571,"1,011","34,215","1,533","1,704","36,914","1,847","1,856","65,558","3,056","1,434","101,667","2,429","2,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"57,351","9,170",982,"21,969",577,"1,148","29,809","1,571",725,"32,524","1,792",864,"64,864","3,106","1,695","97,309","2,123","2,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"54,752","8,732","1,132","24,616",588,"2,963","30,996","1,616","2,013","34,638","1,767","2,096","57,841","2,755","1,626","96,266","2,003","3,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"55,151","8,469",893,"23,994",521,"2,865","30,149","1,445","1,155","33,239","1,744","1,357","59,507","2,717","1,482","93,772","2,040","2,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"51,500","8,014",862,"21,640",563,"1,056","28,302","1,478",902,"35,034","1,582","2,040","57,150","2,645","1,360","87,205","1,743","2,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"49,263","8,028",657,"20,747",595,749,"28,490","1,520",634,"30,519","1,629",711,"56,689","2,576","1,164","84,369","1,707","2,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"53,419","7,158","1,106","20,461",487,804,"29,312","1,367","1,104","32,958","1,356","1,333","55,730","2,376","1,609","98,871","1,569","3,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"51,063","7,118",904,"21,200",540,"1,178","29,390","1,213","1,510","32,671","1,466","1,214","58,524","2,298","1,619","83,721","1,600","2,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"49,571","7,137",869,"21,305",512,764,"28,773","1,241",730,"34,423","1,456","1,666","54,451","2,354","1,458","81,943","1,572","2,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"50,940","7,073","1,177","20,573",599,719,"29,426","1,301","1,239","33,238","1,350","1,526","56,197","2,268","2,223","88,408","1,553","3,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"45,751","6,684",807,"22,909",598,"1,509","27,082","1,304",699,"31,460","1,337","1,187","51,064","2,108","1,394","80,145","1,335","2,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"44,361","6,369",881,"19,684",497,893,"28,289","1,192","1,015","29,524","1,364","1,035","47,912","2,119","1,412","81,259","1,196","3,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"42,163","6,190",731,"19,558",539,"1,908","25,704","1,162",816,"27,209","1,355",857,"48,333","1,878","1,282","74,046","1,254","2,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"40,793","6,086",801,"16,746",536,621,"24,900","1,138",778,"27,340","1,325","1,388","46,628","1,911","1,407","72,852","1,174","2,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"85,813","5,706","2,060","34,015",318,"2,671","43,907",820,"2,307","47,902",856,"2,637","86,639","1,917","2,952","131,411","1,793","4,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"82,771","5,528","2,032","28,683",283,"1,830","40,718",866,"1,455","46,021",967,"2,033","87,714","1,823","3,066","132,138","1,587","5,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"79,440","5,452","1,833","35,303",283,"2,902","41,576",913,"2,516","45,422",964,"2,735","86,369","1,694","3,384","122,087","1,597","4,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"75,610","5,258","1,701","36,311",267,"4,158","37,255",933,"1,287","44,013","1,022","2,526","78,528","1,520","2,643","124,668","1,513","4,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"71,362","5,014","1,636","26,616",303,"1,583","39,038",814,"2,962","39,272",894,"1,642","74,452","1,587","2,286","116,397","1,414","4,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"66,326","4,817","1,459","26,516",279,"1,905","33,374",823,"1,077","36,790",903,"1,314","71,685","1,581","2,525","112,262","1,229","3,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"64,019","4,690","1,788","24,897",288,"1,558","35,882",881,"3,568","37,731",936,"2,446","66,653","1,417","2,796","112,837","1,166","4,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"64,502","4,455","1,380","24,256",251,"1,086","32,794",748,"1,768","38,417",871,"2,364","69,657","1,361","2,404","105,017","1,222","3,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"60,397","4,195","1,367","25,534",298,"1,810","32,500",754,"1,577","42,378",810,"3,852","65,740","1,316","1,963","98,812","1,015","3,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"57,180","4,196","1,051","24,064",315,"1,219","31,683",766,972,"34,428",837,"1,096","64,963","1,285","1,939","96,506",992,"2,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"62,328","3,811","1,810","21,167",255,"1,107","33,080",695,"1,914","37,691",722,"2,326","62,561","1,198","2,422","113,711",940,"5,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"60,007","3,776","1,491","23,814",279,"1,473","34,904",606,"2,879","37,283",773,"2,008","67,088","1,186","2,790","97,068",931,"3,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"57,890","3,731","1,347","24,213",244,"1,216","33,607",630,"1,103","41,876",773,"2,971","60,356","1,156","1,884","93,604",926,"3,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"60,516","3,757","1,911","23,311",298,"1,164","32,528",710,"1,244","37,263",658,"1,565","67,144","1,150","3,622","101,676",939,"5,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"54,257","3,564","1,351","28,150",307,"2,650","30,547",721,"1,019","35,401",675,"2,055","60,739","1,048","2,504","92,552",811,"3,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"52,544","3,440","1,359","20,691",235,"1,171","31,710",676,"1,527","33,798",680,"1,814","56,998","1,079","2,562","90,870",770,"3,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"48,890","3,333","1,058","23,745",291,"3,439","28,522",582,"1,192","31,775",673,"1,447","52,508",992,"1,475","83,098",793,"2,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
